SCNN1D	GALE
CCNJ	TEX45
ZNF518A	TMUB1
OPALIN	KIAA1614
OPALIN	TM7SF2
OPALIN	LINC02352
PIK3AP1	CD53
PIK3AP1	SLITRK3
PIK3AP1	RIN3
PIK3AP1	RUNDC3A-AS1
PIK3AP1	CELSR1
SLIT1	EHD3
SLIT1	CNR1
SLIT1	PCDH19
FRAT2	FAM122A
AVPI1	C1orf74
AVPI1	FAM89B
AVPI1	HCRT
GOLGA7B	LIMD2
HPSE2	SPON1
CNNM1	RNF182
CNNM1	SCN8A
CNNM1	SMPD3
NDUFB8	IBA57
NDUFB8	MED10
NDUFB8	SNHG6
NDUFB8	ROM1
MRPL43	DPM2
DPCD	LRRC75B
KCNIP2-AS1	LINC02802
KCNIP2-AS1	CENPO
KCNIP2-AS1	SHLD3
KCNIP2-AS1	DDN-AS1
KCNIP2-AS1	NRAV
KCNIP2-AS1	EPOR
PSD	GRIN1
PSD	GOLGA7B
PSD	ADAM11
CUEDC2	MAGEF1
CUEDC2	MPDU1
RPARP-AS1	Z97832.2
RPARP-AS1	MOSPD3
SFXN2	DPH5
SFXN2	EFEMP1
SFXN2	TAS2R14
SFXN2	GALNT4
SFXN2	SLC25A42
SFXN2	ZFP28
ATP5MD	ABHD14A
ATP5MD	MRPL16
ATP5MD	MT2A
ATP5MD	MISP3
NEURL1	ARHGDIG
SORCS1	FSTL4
DCLRE1A	PRTG
ABLIM1	GPRIN3
ATRNL1	THRB
SHTN1	DAAM2
SHTN1	PACRG-AS1
SHTN1	DIPK2B
PLPP4	ZDHHC20
WDR11-AS1	DMGDH
WDR11-AS1	LCMT1-AS1
EDRF1-AS1	RAB13
EDRF1-AS1	ASB16
EDRF1-AS1	DPP9-AS1
EDRF1-AS1	PINLYP
LINC00601	ALG1
INSYN2A	HSD17B3-AS1
INSYN2A	TTC3-AS1
BNIP3	PCBP1
BNIP3	DDIT4
BNIP3	SEZ6L2
JAKMIP3	ME1
NKX6-2	LINC02267
NKX6-2	ZFPM1
CFAP46	TNNT2
CFAP46	SLC6A11
CFAP46	LINC02043
KNDC1	KIF21B
KNDC1	DNM1
KNDC1	SCN3B
KNDC1	DOC2A
KNDC1	RIPOR1
CALY	UCHL1
CALY	CCKBR
CALY	TMEM59L
CALY	STMN3
ECHS1	WASHC1
SIGIRR	TALDO1
SIGIRR	HOMER3
RNH1	TSEN34
DEAF1	HBEGF
TALDO1	S100A16
TALDO1	BMX
CEND1	FBLL1
RPLP2	EIF3I
RPLP2	MAF1
RPLP2	RPL13A
POLR2L	BCS1L
POLR2L	TINF2
CHID1	HTRA2
CTSD	TRIM28
CD81	GPR62
CD81	ITM2B
CARS-AS1	PLK3
RHOG	RHOB
RHOG	APOD
RHOG	SLC35B2
RHOG	OLIG1
MMP26	FAM9B
C11orf42	DEPP1
CCKBR	SH2D5
ILK	P2RY14
ILK	CNBD2
TAF10	SLC39A7
TAF10	PSMC3
TAF10	FICD
TAF10	DGCR6L
MRPL17	ACACB
ZNF214	BTBD8
ZNF214	ZPR1
PPFIBP2	MAPKBP1
TUB	GRHL1
TRIM66	FAM66B
DKK3	DBN1
DKK3	DAGLA
RPS13	SELENOK
RPS13	ATP5ME
RPS13	RPS23
RPS13	WDR83OS
RPS13	LSM4
RPS13	BEX4
NCR3LG1	STK17B
KCNC1	TMEM44
KCNC1	PTGR1
PTPN5	SLC6A17
PTPN5	CACNA1E
PTPN5	IGSF9B
PTPN5	CACNA1G
PTPN5	FXYD7
PRMT3	THAP2
PRMT3	SLC25A53
NELL1	ST6GAL1
NELL1	TSHZ2
ANO5	SGPP2
ANO5	MEF2C-AS1
ANO5	SLC26A4
ANO5	ARNTL2
ANO5	CIT
ANO5	FHL1
SVIP	GPN3
ANO3	TRPC6
LGR4	JADE3
BDNF-AS	TMEM64
BDNF-AS	ZMAT1
BDNF-AS	SPANXA2-OT1
LINC02742	NABP1
LINC02742	PKHD1
LINC02742	ANGPTL5
LINC02742	LINC02457
LINC02742	LINC00558
LINC02755	SLC16A6
KIAA1549L	CAP2
KIAA1549L	AMPH
KIAA1549L	ELAVL2
KIAA1549L	ARHGAP44
ABTB2	MAML2
SLC1A2	ATP1A2
PRR5L	SYNDIG1
C11orf74	TERF2IP
ALKBH3-AS1	SPINK6
SYT13	SCG3
SYT13	KCNAB3
SYT13	SYT4
SYT13	KCNN1
MAPK8IP1	PCYT2
MAPK8IP1	MAG
NR1H3	FBLN5
SPI1	RHOC
SPI1	RASSF5
SPI1	DGAT2
SPI1	IL16
SPI1	LINC01431
SPI1	CXorf40B
NDUFS3	TOR3A
NDUFS3	PINX1
NDUFS3	PAF1
NDUFS3	IDH3G
PTPMT1	H1FX
PTPMT1	BTG3
KBTBD4	CDHR2
FOLH1	SPRYD4
FOLH1	SPESP1
FOLH1	MAFF
SLC43A1	CDCA8
SLC43A1	MSTN
SLC43A1	LINC02338
SLC43A1	WFIKKN1
SERPING1	C1orf100
SERPING1	TAC3
YPEL4	CDH8
MED19	RSL1D1
BTBD18	AC016747.2
BTBD18	SPINK8
BTBD18	AL033397.2
BTBD18	LINC02445
TMEM132A	DGKA
TMEM132A	TSPYL2
TKFC	TSSK3
TKFC	SLCO2A1
TKFC	RASGRF2-AS1
TKFC	LAMA4
TKFC	ADAMTS13
TKFC	PTGES3L
SYT7	KCNAB2
SYT7	FBXO41
TMEM258	BTF3
TMEM258	ARPC3
FADS2	FADS1
FADS3	NEUROD1
FADS3	SLC25A37
CSKMT	NGB
UQCC3	STX4
UQCC3	NDUFA7
BSCL2	EFNA3
BSCL2	PRRT1
BSCL2	GADD45G
BSCL2	CALY
BSCL2	THY1
BSCL2	PFKM
TMEM223	EXOC3-AS1
TMEM179B	MAD2L2
TMEM179B	HEIH
TMEM179B	TMEM14C
TMEM179B	MRPL14
SLC3A2	HAP1
CHRM1	CTXN1
SLC22A10	MLIP
SLC22A10	SAMD3
PLAAT2	TGM1
STIP1	XPO1
STIP1	TTC30A
STIP1	ARRDC3-AS1
STIP1	DDHD2
STIP1	PTGES3
STIP1	DHRS12
STIP1	LINC01588
STIP1	CCDC113
STIP1	FLCN
STIP1	JMJD6
STIP1	ZNF473
STIP1	CCDC117
TRPT1	CLSPN
TRPT1	SPSB2
TRPT1	SARS2
TRPT1	CETN2
PPP1R14B	B3GALT2
TRMT112	CCT7
TRMT112	RPS6
TRMT112	AIP
TRMT112	TSR2
PRDX5	LAMTOR2
PRDX5	ATP5MC3
PRDX5	SNCG
PRDX5	SAP18
PRDX5	HDDC3
PRDX5	NDUFA1
RASGRP2	RRS1
RASGRP2	CARMIL3
ATG2A	TRAF7
ARL2	MRFAP1
ARL2	UBB
ARL2	CHMP2A
ARL2	TCEAL4
TM7SF2	HCG25
TM7SF2	JMJD7
FAU	RPS27
FAU	NDUFAF3
FAU	PTGDS
FAU	DBNDD2
NEAT1	RNF157
RELA	SLC26A7
RELA	SPOUT1
RNASEH2C	PPP1R11
RNASEH2C	TIMM29
CFL1	RNF187
CFL1	HIGD1A
CFL1	RBM42
CFL1	ADRM1
CFL1	SLC25A1
MUS81	COL6A6
MUS81	IL20RB-AS1
MUS81	GNPDA1
MUS81	CARNMT1-AS1
FIBP	SNRPC
C11orf68	FASTK
C11orf68	MRPL28
C11orf68	GTF2F1
DRAP1	CD2BP2
BANF1	MINCR
BANF1	ATP5PO
SF3B2	CCDC137
PACS1	AGT
KLC2	AMPD2
KLC2	GPS2
YIF1A	PACSIN3
YIF1A	NMRAL1
YIF1A	SMIM6
YIF1A	GAMT
TMEM151A	H2AFX
TMEM151A	PAQR4
RIN1	NFKBID
B4GAT1	NOP56
CTSF	YPEL3
CCS	PYCR2
CCS	ZNF784
RCE1	TMEM243
CARNS1	LDB3
TMEM134	C8orf82
TMEM134	HINT2
TMEM134	CORO1B
TMEM134	ARG2
AIP	PCBP1
AIP	ZMAT2
AIP	RPL4
AIP	THAP11
AIP	ISOC2
PITPNM1	CNTFR
GSTP1	PGAM1
GSTP1	PFN1
GSTP1	C17orf49
C11orf24	RAB39A
LRP5	TMEM92-AS1
MRPL21	LINC00636
DEFB131B	LINC01917
DEFB131B	GATA1
DEFB131B	AWAT1
LRTOMT	C6orf47
LAMTOR1	MRPL24
LAMTOR1	CLDND1
LAMTOR1	MPV17L2
ARHGEF17	EXTL1
ARHGEF17	SLC2A3
ARHGEF17	SEPTIN3
COA4	SHISA4
P4HA3	INKA2
P4HA3	GPATCH4
P4HA3	APOBEC4
P4HA3	GGCX
P4HA3	CCN6
P4HA3	ST7-AS2
P4HA3	SYCE2
RPS3	USP19
RPS3	SLC35A4
RPS3	EVI2A
RPS3	TMEM101
RPS3	C18orf32
RPS3	FAM174C
EMSY	RAD18
EMSY	ELP6
EMSY	LINC00159
ACER3	ASPHD1
PAK1	RASAL1
NDUFC2	ATRAID
NDUFC2	BLOC1S1
NDUFC2	EXOSC8
TMEM126A	CHCHD7
TMEM126A	GIHCG
CTSC	LINC01786
GRM5-AS1	CACNA2D3-AS1
GRM5-AS1	FGF12-AS1
GRM5-AS1	LINC00710
GRM5	VWC2L
GRM5	EFNA5
CHORDC1	CRYZ
CHORDC1	FXR1
CHORDC1	UBE2D3-AS1
CHORDC1	SLC29A3
FAT3	AGBL4
FAT3	GRM1
FAT3	RMST
ANKRD49	SRSF7
PIWIL4	FUT4
CNTN5	CNTNAP5
CNTN5	UNC80
CNTN5	EPHA6
CNTN5	RBM24
CNTN5	SLC5A8
YAP1	GLI2
YAP1	SLC22A13
YAP1	FSTL1
TMEM123	LINC01608
TMEM123	FOLH1
DYNC2H1	DHX57
DYNC2H1	MTBP
DYNC2H1	PDSS1
GRIA4	HSD17B4
ELMOD1	PTPN14
CRYAB	HAGLROS
CRYAB	HSP90AB1
CRYAB	HSPA8
CRYAB	DYNLL1
CRYAB	TPT1
CRYAB	CENPV
CRYAB	SOD1
C11orf52	NANP
TIMM8B	ORMDL2
IL18	HJV
BCO2	WDR53
BCO2	PTCSC2
BCO2	TMEM273
BCO2	SPHK2
PTS	RTCA
PTS	PLEKHA7
PTS	PLET1
PTS	SCML1
PLET1	EVA1A
NCAM1-AS1	NKAPL
NXPE2	DDX11-AS1
SIK3	LINC02283
SIK3	KLHL32
DSCAML1	PBX3
PHLDB1	RGMB
PHLDB1	SVEP1
CCDC84-DT	PRRT3
CCDC84-DT	PLPP6
CCDC84-DT	GTPBP3
AP003392.1	TAS1R1
AP003392.1	TRABD2A
AP003392.1	RBMS3-AS3
AP003392.1	CCDC192
AP003392.1	FAR1-IT1
AP003392.1	LINC02371
AP003392.1	C17orf78
AP003392.1	RNF157-AS1
AP003392.1	GSS
RPS25	ATOX1
RPS25	ITM2B
RPS25	RTL8A
SLC37A4	TMEM107
NECTIN1-AS1	HMGN4
BLID	ZNF630
UBASH3B	CDH6
UBASH3B	TUBA8
ZNF202	PPP1R8
VWA5A	PCDHB12
NRGN	VSNL1
NRGN	TAGLN3
NRGN	CEND1
NRGN	RUNDC3A
HEPN1	RPL22L1
HEPN1	WNT5B
HEPN1	METRN
CHEK1	LINC02572
RPUSD4	HSPA14
RPUSD4	ZNF527
RPUSD4	TRMT6
RPUSD4	C22orf39
TIRAP	KIAA1614-AS1
TIRAP	SERF1A
TIRAP	NUDT15
KIRREL3	CLCA4
KIRREL3-AS1	AC021321.1
KIRREL3-AS1	CFAP77
ZBTB44-DT	NDP
OPCML	BCL11A
OPCML	SLC35F1
OPCML	PCSK2
THYN1	PAFAH1B3
AP004608.1	UFL1-AS1
AP004608.1	VSIR
IQSEC3	GLP2R
NINJ2	DENND2A
NINJ2	ABCG1
WNT5B	POGLUT2
ADIPOR2	ANLN
ADIPOR2	PLPP4
LINC02371	SLC23A1
FKBP4	CCT5
TSPAN9	TBC1D10A
TSPAN9	SLC16A2
PRMT8	LYPD6B
PRMT8	MRAP2
PRMT8	COL26A1
DYRK4	TM9SF1
GAU1	RSPH14
KCNA1	CFAP52
CD9	SLC39A1
CD9	BTG2
CD9	SMIM29
CD9	ZNF713
CD9	POMK
CD9	PREX2
CD9	ST3GAL2
CD27	UHRF1BP1
CD27	TAS2R39
MRPL51	RNF7
MRPL51	HIGD2A
MRPL51	NDUFB8
MRPL51	NDUFAF8
GAPDH	SF3B5
PIANP	CITED2
PIANP	CEBPB
PTMS	PLEKHO1
PTMS	PFKP
PTMS	CHGA
PTMS	CA11
PTMS	GAS2L1
GPR162	MLLT11
GPR162	CHRD
GPR162	LINC00599
GPR162	CAT
GPR162	NR1D1
TPI1	ENO1
TPI1	WWTR1
TPI1	LY6E
TPI1	EMC9
TPI1	NTHL1
ENO2	TUBA4A
ENO2	TMEM132A
ENO2	B4GAT1
ENO2	INAFM1
C12orf57	GPKOW
CLSTN3	PPFIA4
CLSTN3	ICAM5
CLSTN3	SLC37A1
FAM66C	WDR78
FAM66C	WARS2
FAM66C	FTCDNL1
FAM66C	SLC6A1
FAM66C	MRPS30-DT
FAM66C	KIAA0825
FAM66C	GMDS-DT
FAM66C	PRKCQ
FAM66C	POC1B
FAM66C	PLEKHH1
FAM66C	HOMER2
FAM66C	SLC7A5
FAM66C	PLEKHH3
FAM66C	CHODL
FAM66C	CLDN14
LINC00937	MAMDC2
A2M	CCDC181
A2M	HTT-AS
A2M	SRD5A3-AS1
A2M	DOCK2
A2M	FAM186A
LINC02470	CLEC2A
KLRC3	KLRC4
KLRC3	KLRC2
STYK1	BTC
STYK1	BTNL9
STYK1	LINC01234
STYK1	ACE
TAS2R14	GNRH1
TAS2R14	ARPIN
PRB1	OCIAD2
BCL2L14	STAG3
BCL2L14	ASTN2-AS1
BCL2L14	PPFIA2-AS1
BCL2L14	DLEU1
BCL2L14	KIAA0556
BCL2L14	TCF4-AS1
LRP6	FCHSD2
LOH12CR2	MED18
LOH12CR2	BTN3A2
LOH12CR2	SSSCA1-AS1
LOH12CR2	NPIPA7
CDKN1B	PRELID3B
GRIN2B	ADD2
GRIN2B	VWC2
GRIN2B	TENM4
GRIN2B	RIMBP2
GRIN2B	GNG2
GRIN2B	FAM189A1
GRIN2B	MAPK4
H2AFJ	MSH4
H2AFJ	PDZD2
H2AFJ	ACSM3
H2AFJ	MAPT
ART4	LINC02811
ART4	C2CD6
ART4	CLMAT3
ART4	USH1C
LMO3	PRKG2
SLCO1B1	SYT2
SLCO1B1	GRID1-AS1
SLCO1B1	EPN2-AS1
GOLT1B	CPT1C
GYS2	FHDC1
GYS2	HSPA1L
ST8SIA1	SCN9A
ST8SIA1	ST3GAL1
ST8SIA1	STIM1
ST8SIA1	SLC41A2
ST8SIA1	BICDL1
ST8SIA1	PPP4R4
SOX5	SLC44A5
SOX5	CHSY3
SOX5	EPHA7
SOX5	MIR31HG
SOX5	PLEKHA5
LRMP	ZNF423
RASSF8-AS1	RHOU
RASSF8-AS1	NOP14-AS1
REP15	AMZ1
REP15	TWNK
REP15	GNAZ
DDX11-AS1	PIWIL4
DDX11-AS1	TMEM202-AS1
DDX11-AS1	ZNF229
DDX11-AS1	BTG3-AS1
LINC02422	ZNF74
PKP2	TMCO4
CPNE8	REEP1
CPNE8	MPP7
CPNE8	PGM2L1
C12orf40	INKA2-AS1
C12orf40	ERVMER34-1
C12orf40	ABCA13
C12orf40	GSG1
C12orf40	SEPTIN1
C12orf40	NPAS1
SLC2A13	HOMER1
SLC2A13	CDK14
CNTN1	KCNK2
PDZRN4	ZFPM2
PDZRN4	CSMD3
PDZRN4	GUCY1A2
NELL2	WLS
NELL2	MED12L
NELL2	GABRG2
NELL2	E2F3
NELL2	NRCAM
NELL2	LINC02055
NELL2	DAPK1
NELL2	CACNB2
NELL2	CPNE8
NELL2	DZIP1
NELL2	COL4A2
NELL2	RGS6
NELL2	CEP112
NELL2	AFF2
SLC38A2	EPCAM
SLC38A2	GABRR2
SLC38A2	ARL4A
SLC38A2	RBM48
SLC38A2	TOPORS
SLC38A2	PGAP2
SLC38A2	MYO15B
SLC38A2	EFCAB6
PFKM	ARHGEF4
PFKM	NAP1L5
RND1	EPHB3
RND1	ZNF703
TUBA1B	TUBB
KCNH3	KCNH2
BCDIN3D	ATP1A1-AS1
GPD1	CTSO
COX14	ZNF593
COX14	SNHG18
COX14	SLC52A2
COX14	MRPL49
COX14	SNRNP25
COX14	GMFG
COX14	ZNF674-AS1
LIMA1	MNT
LIMA1	FSD1
FAM186A	LINC00612
FAM186A	BBOF1
METTL7A	HTRA1
NR4A1	ZNF285
TNS2	GVQW2
TNS2	EXTL3-AS1
TNS2	SAXO1
TNS2	IFNA6
TNS2	OPALIN
TNS2	COL9A3
IGFBP6	FAM241B
PFDN5	ATP5IF1
PFDN5	EPB41L4A-AS1
PFDN5	CDK5
C12orf10	TIMM10
C12orf10	SLC39A3
PRR13	NABP2
MAP3K12	WDR54
MAP3K12	MRPL32
ZNF385A	PRXL2B
ZNF385A	GPR85
ZNF385A	RILP
ZNF385A	CHRDL1
PDE1B	KCNQ2
CD63	HLA-A
RPL41	RPL15
RPL41	COX7C
RPL41	HIST1H4C
RPL41	SDHAF1
MYL6	GAS5
GLS2	PNMA5
ATP5F1B	RXRB
ATP5F1B	CFL1
ATP5F1B	MLST8
PTGES3	ITGB3BP
PTGES3	LTV1
PTGES3	BAG3
PTGES3	CHORDC1
NACA	USE1
RDH16	PCDHB13
STAT6	LINC01950
MARS	TARS
MARS	RSAD1
ARHGEF25	ULK3
B4GALNT1	TRNP1
B4GALNT1	CRYM
B4GALNT1	RASD1
CDK4	NSUN7
GIHCG	FANCF
GIHCG	UBE2L6
GIHCG	FADD
C12orf56	CCDC39
TMBIM4	PCSK5
GRIP1	NCALD
IFNG-AS1	LINC00351
CPM	ACER3
PTPRR	FBXO16
THAP2	HTATIP2
TRHDE	TRHDE-AS1
LINC02445	UPK1B
LINC02445	C11orf42
LINC02445	LINC02394
LINC02445	CCDC198
GLIPR1L1	PAXIP1-AS1
CSRP2	TMEM106C
SYT1	ADGRL2
SYT1	SLC16A14
SYT1	SYN2
AC027288.3	WFDC1
PAWR	BTN3A3
PAWR	LRRC75B
PPFIA2-AS1	LINC00472
PPFIA2-AS1	FBXL13
PPFIA2-AS1	ASZ1
PPFIA2-AS1	MUSK
CCDC59	LSMEM1
TSPAN19	ISG20
TSPAN19	TMC8
MGAT4C	LRRC3B
KITLG	GRB14
KITLG	KCNN2
KITLG	RNF144B
KITLG	FAXC
KITLG	LRRIQ1
KITLG	ANKRD30B
KITLG	ANKRD24
POC1B	GALM
POC1B	PHYH
GALNT4	FAM47E
GALNT4	PPIL1
GALNT4	RMI1
GALNT4	POC1B-AS1
GALNT4	PLD2
POC1B-AS1	GAS1RR
LINC02822	STRIP2
CRADD	PRIM2
CRADD	GRM3
CRADD	PELI2
CRADD	E4F1
CRADD	PCMTD2
NDUFA12	MRTO4
CCDC38	SGO1
ELK3	STK17A
DEPDC4	RELA-DT
DEPDC4	LINC01640
GAS2L3	CKAP2
WASHC3	FAM13C
STAB2	C12orf42
EID3	ANKRD37
EID3	FZD6
EID3	CTHRC1
EID3	GOLM1
EID3	DHODH
EID3	COIL
EID3	VMAC
SLC41A2	EPB41
SLC41A2	ADI1
SLC41A2	ITPR1
SLC41A2	DGKG
SLC41A2	COL27A1
SLC41A2	GPC5
SLC41A2	ADCY9
SLC41A2	MALT1
WSCD2	PCED1B
ISCU	GALNT7
ISCU	LYNX1
ISCU	CCDC107
SVOP	MARCH4
SVOP	LINC02217
SVOP	ICA1
MVK	MMAB
FAM222A-AS1	LINC00624
FAM222A-AS1	LANCL1-AS1
IFT81	LINC02427
ARPC3	NOTCH4
HVCN1	PITRM1-AS1
CUX2	SHISA9
CUX2	SLC8A2
SH2B3	LMOD1
ALDH2	GMNN
ALDH2	OGFRL1
ALDH2	PRKX
MAPKAPK5-AS1	NUDT8
MAPKAPK5-AS1	MLX
ERP29	SURF1
ERP29	RNH1
RPL6	COX6B1
SLC8B1	CR2
SLC8B1	IL26
SLC8B1	ARHGEF40
SLC8B1	AKAP17A
LINC01234	ABCG8
KSR2	MAP3K5
KSR2	CELF2-DT
KSR2	GRAMD1B
KSR2	STYK1
KSR2	PRICKLE1
KSR2	LINC02347
KSR2	SYN3
SRRM4	MARCH11
SRRM4	GLB1L3
CCDC60	GBP3
AC004812.2	C5orf66
AC004812.2	PDZD11
RPLP0	GSTO1
RPLP0	FAU
RPLP0	RPS2
RPLP0	TXNDC17
RPLP0	CBR1
COX6A1	C1QBP
TRIAP1	GFER
DYNLL1	CDC14A
DYNLL1	C4orf3
NRAV	C2orf81
NRAV	DHX58
POP5	TMEM223
AC125616.1	TEC
AC125616.1	BIN2
AC125616.1	SERPINF1
CABP1	CADM3
CABP1	PRKCG
P2RX7	SERPINB8
P2RX7	SLC16A8
KDM2B-DT	PARD6B
RHOF	HPR
CCDC62	RPS10-NUDT3
CCDC62	GARS
CDK2AP1	VEGFB
LINC00507	KCNV1
LINC00507	C1QL3
TMEM132D	ERC2
RAN	TMEM203
RAN	EEF1A2
RAN	UBL4A
MMP17	BRINP2
GALNT9	CPNE9
SAP18	LINC02240
LINC00539	CAPS
ZDHHC20	LINC00539
FGF9	PRSS12
FGF9	LRRC6
LINC00621	SYT10
SGCG	TTC39A
SACS-AS1	C9orf92
SPATA13	FNTB
SPATA13	LSS
CENPJ	PCDHGA1
CENPJ	LINC00997
WASF3-AS1	INSL6
WASF3-AS1	ZFHX2
LINC02340	ATP6V1E2
LINC02340	C9orf139
LINC02340	BTBD16
LINC02340	C11orf65
LINC02340	PEX11G
LINC02340	ADORA2A
RPL21	RPL34
RPL21	ARF5
RPL21	RPL41
RPL21	RPL26
PAN3-AS1	ZSCAN16-AS1
MTUS2	ADCY2
MTUS2	HCN1
MTUS2	KCND2
MTUS2	LIN7A
SLC7A1	YARS
SLC7A1	MTHFD2
SLC7A1	CDKN1A
SLC7A1	STOM
SLC7A1	CARS
SLC7A1	TXNRD1
SLC7A1	ZNF460
HMGB1	NEXN
HMGB1	CANT1
HSPH1	EFCAB7
HSPH1	JAK1
HSPH1	HSPA4L
HSPH1	PLOD3
HSPH1	SENP8
HSPH1	DNAJB1
PDS5B	YOD1
PDS5B	CLIP4
PDS5B	SORD
PDS5B	XYLT1
STARD13-AS	ZIC4
STARD13-AS	TARID
STARD13-AS	LMO7-AS1
STARD13-AS	ATP8B1
DCLK1	DCHS2
DCLK1	NRSN1
DCLK1	KCNMA1
DCLK1	FHOD3
EXOSC8	MIR4458HG
TRPC4	MSRB3
NHLRC3	AGA
LINC00598	BARD1
LINC00598	SYCP2L
LINC00598	GTF2IRD1
LINC00598	CDH26
NAA16	NFYA
NAA16	SPATA5L1
DGKH	IQCH-AS1
CCDC122	LACC1
TPT1	NOL7
TPT1	PTOV1
TPT1	TCEAL9
SIAH3	DOK4
SIAH3	KCTD15
CPB2-AS1	OSTF1
CPB2	CEP72
CPB2	FAM186B
CPB2	KLHL28
CPB2	SLC24A5
LRRC63	ARHGAP22
HTR2A	SATB1
MED4-AS1	MACROD2-AS1
RB1-DT	GPR156
RB1-DT	SLC12A9-AS1
LPAR6	PIGC
LPAR6	SMAD5-AS1
LPAR6	MUS81
LPAR6	ZNF529-AS1
CAB39L	CPEB3
CAB39L	UHRF1
FAM124A	REPS2
SERPINE3	KCNV2
NEK5	WDR90
NEK3	FTCDNL1
NEK3	LY96
NEK3	ZNF658
NEK3	WDR11-AS1
NEK3	RXYLT1
NEK3	MAFG
SUGT1	HIBCH
SUGT1	SETMAR
SUGT1	MPDZ
SUGT1	UBE2D1
SUGT1	SH2B3
SUGT1	MROH8
PCDH8	LGI2
PCDH8	SDR16C5
PCDH17	RAB3IP
PCDH20	TMEM229B
PCDH9	PBX1
PCDH9	FHIT
PCDH9	NT5DC1
PCDH9	EML1
PCDH9	TRIM25
PCDH9-AS1	LYG2
PCDH9-AS3	LPP-AS1
PCDH9-AS3	PCDH9-AS2
PCDH9-AS3	PTCSC3
PCDH9-AS4	LRRC53
PCDH9-AS4	ENO4
PCDH9-AS4	PCDH9-AS2
PCDH9-AS4	TCF4-AS2
PCDH9-AS4	EMC10
MZT1	SAP30L
TBC1D4	GUCY1A2
LMO7-AS1	WARS2-IT1
MYCBP2-AS1	PXDNL
GPC5	AL139041.1
GPC6	RIMS1
GPC6	SHC3
DZIP1	SEL1L3
HS6ST3	MPPED2
HS6ST3	RAP1GAP2
FARP1	RIPOR2
DOCK9-AS1	ADH4
DOCK9-AS1	LATS2-AS1
GPR18	VEPH1
PCCA-AS1	AL512330.1
PCCA-AS1	TYR
FGF14	MYT1L
FGF14	NME5
FGF14	MMP16
FGF14	MTUS2
FGF14	FAM155A
FGF14	FRMPD4
FGF14-AS2	PRKAR2A-AS1
FGF14-AS2	ZNF174
FGF14-AS2	ZNF492
TEX30	DNAJB13
LINC00343	INHBA-AS1
FAM155A	CLSTN2
FAM155A	CCSER1
FAM155A	RNF150
FAM155A	CDH10
FAM155A	HTR1E
FAM155A	ZEB1
FAM155A	OPCML
FAM155A	SOX5
TNFSF13B	UBR5-AS1
IRS2	LUCAT1
ADPRHL1	TRIM58
ADPRHL1	LNP1
ADPRHL1	ZSWIM8-AS1
TFDP1	STARD10
POTEG	CR1L
POTEG	PURPL
POTEG	SEMA3E
POTEG	ESRP1
POTEG	FAM25G
POTEG	LINC01435
POTEG	KLHL1
POTEG	LINC00871
POTEG	SSTR2
POTEG	HCK
PARP2	MSANTD1
APEX1	SBNO1-AS1
RNASE1	NENF
RNASE1	RETSAT
RNASE1	COA4
RNASE1	CMTM5
RNASE1	TYMS
DAD1	PRADC1
DAD1	IMP4
DAD1	ATP5PF
C14orf93	ADGRF3
C14orf93	PML
C14orf93	ZNF221
C14orf119	NIM1K
RNF212B	BEST1
SLC22A17	IER5
SLC22A17	SOX15
EFS	TBC1D8
EFS	ZNF596
CMTM5	PSRC1
CMTM5	APBB3
CMTM5	GSTZ1
JPH4	CPNE6
JPH4	MOK
PCK2	AGMAT
PCK2	RBMS3-AS3
PCK2	CDKN3
PCK2	ABCC11
PCK2	ZBTB32
FITM1	SGCA
PSME1	GPANK1
TM9SF1	RNF26
TINF2	F8A1
SDR39U1	TMEM232
FOXG1-AS1	EFHC2
FOXG1	GABRA6
FOXG1	TDRP
FOXG1	ETS2
G2E3-AS1	CMTM7
G2E3-AS1	MMP21
G2E3-AS1	DHRS1
G2E3-AS1	PDZD9
DTD2	FRZB
DTD2	ZNF621
DTD2	CHRAC1
CFL2	LRRC8C-DT
CFL2	PDGFRL
NFKBIA	AZGP1
LINC00609	MEIS1
LINC00609	TLN2
PTCSC3	ZBTB20-AS2
PTCSC3	B3GNT5
PTCSC3	PDCD1LG2
PTCSC3	MRTFA-AS1
SLC25A21-AS1	SFR1
SLC25A21-AS1	EMD
SSTR1	SPON2
SSTR1	MIR4713HG
LRFN5	GHR
LRFN5	RUNDC3B
LRFN5	LINC02822
KLHL28	INTS12
LINC01588	TYMSOS
CDKL1	TMCC2
CDKL1	TCAIM
CDKL1	FBXO5
CDKL1	CLDN15
CDKL1	SNX31
CDKL1	PIEZO2
TMX1	CCDC90B
LINC00640	LSMEM1
GNG2	PLPPR4
MAPK1IP1L	NEDD4
MAPK1IP1L	CES5A
MAPK1IP1L	QTRT1
LINC02284	ATOH8
TMEM260	ZNF518A
TMEM260	CPEB1-AS1
TMEM260	PLD6
CCDC198	ZNF630-AS1
SLC35F4	MYBL1
PSMA3	SLC3A1
PSMA3	TXN
KIAA0586	XXYLT1
DACT1	LINC01500
GPR135	RIOK1
GPR135	ZBTB1
LRRC9	RWDD2B
DHRS7	LGALS3BP
TRMT5	PINK1-AS
TRMT5	C4orf46
TRMT5	RFESD
TRMT5	CCDC167
TRMT5	B3GNT10
TRMT5	LRTOMT
TRMT5	LINC02422
TRMT5	DIABLO
TRMT5	ARMC5
TRMT5	KCTD11
