alias	canonical_symbol	alias_type	canonical_targets	duplicate_alias	feature_present_rds	selected_mapping_rds
B15	NDUFB4	synonym	1	FALSE	0	0
B16.6	NDUFA13	synonym	1	FALSE	0	0
B166	PRDX5	synonym	1	FALSE	0	0
B17	NDUFB6	synonym	1	FALSE	0	0
B17.2	NDUFA12	synonym	1	FALSE	0	0
B17.2L	NDUFAF2	synonym	1	FALSE	0	0
B18	NDUFB7	synonym	1	FALSE	0	0
B22	NDUFB9	synonym	1	FALSE	0	0
B5R	CYB5R3	synonym	1	FALSE	0	0
B8	NDUFA2	synonym	1	FALSE	0	0
B9	NDUFA3	synonym	1	FALSE	0	0
BA108L7.2	SFXN3	synonym	1	FALSE	0	0
BACH	ACOT7	synonym	1	FALSE	0	0
BAD	BAD	canonical	1	FALSE	9	0
BAIBA	AGXT2	synonym	1	FALSE	0	0
BAK	BAK1	synonym	1	FALSE	0	0
BAK-LIKE	BAK1	synonym	1	FALSE	0	0
BAK1	BAK1	canonical	1	FALSE	9	0
BAM	BCL2L11	synonym	1	FALSE	0	0
BAP	PHB2	synonym	1	FALSE	0	0
BAX	BAX	canonical	1	FALSE	9	0
BBC2	BAD	synonym	1	FALSE	0	0
BBC3	BBC3	canonical	1	FALSE	9	0
BBG-TCC	SFXN5	synonym	1	FALSE	0	0
BBOX2	TMLHE	synonym	1	FALSE	0	0
BCAM	BCAT2	synonym	1	FALSE	9	9
BCAP37	PHB2	synonym	1	FALSE	0	0
BCAT2	BCAT2	canonical	1	FALSE	9	0
BCATE2	DBT	synonym	1	FALSE	0	0
BCATM	BCAT2	synonym	1	FALSE	0	0
BCDO2	BCO2	synonym	1	FALSE	0	0
BCKAD-E2	DBT	synonym	1	FALSE	0	0
BCKADE2	DBT	synonym	1	FALSE	0	0
BCKDE1A	BCKDHA	synonym	1	FALSE	0	0
BCKDE1B	BCKDHB	synonym	1	FALSE	0	0
BCKDH E1-beta	BCKDHB	synonym	1	FALSE	0	0
BCKDH-E2	DBT	synonym	1	FALSE	0	0
BCKDHA	BCKDHA	canonical	1	FALSE	9	0
BCKDHB	BCKDHB	canonical	1	FALSE	9	0
BCKDK	BCKDK	canonical	1	FALSE	9	0
BCKDKD	BCKDK	synonym	1	FALSE	0	0
BCL-B	BCL2L10	synonym	1	FALSE	0	0
BCL-RAMBO	BCL2L13	synonym	1	FALSE	0	0
BCL-W	BCL2L2	synonym	1	FALSE	0	0
BCL-XL/S	BCL2L1	synonym	1	FALSE	0	0
BCL2	BCL2	canonical	1	FALSE	9	0
BCL2-L-2	BCL2L2	synonym	1	FALSE	0	0
BCL2A1	BCL2A1	canonical	1	FALSE	9	0
BCL2L	BCL2L1	synonym	1	FALSE	0	0
BCL2L1	BCL2L1	canonical	1	FALSE	9	0
BCL2L10	BCL2L10	canonical	1	FALSE	9	0
BCL2L11	BCL2L11	canonical	1	FALSE	9	0
BCL2L13	BCL2L13	canonical	1	FALSE	9	0
BCL2L2	BCL2L2	canonical	1	FALSE	9	0
BCL2L3	MCL1	synonym	1	FALSE	0	0
