AGRN	MAP4K2
RAB11A	AC133919.2
RAB11A	SCIMP
RAB11A	AC104984.6
RAB11A	TSPOAP1-AS1
RAB11A	AC002546.1
RAB11A	AC139100.1
RAB11A	OVOL2
RAB11A	ITCH-AS1
RAB11A	MMP24
RAB11A	AC020908.1
RAB11A	AC005197.1
RAB11A	AC139769.2
RAB11A	TGFB1
RAB11A	AC011466.3
RAB11A	PRR12
RAB11A	AC010320.2
RAB11A	AC010320.4
RAB11A	BAIAP2L2
AC087482.1	C6orf132
AC087482.1	LINC01993
CORO2B	IFFO2
CORO2B	HIVEP3
CORO2B	EFR3B
CORO2B	FBXO32
CORO2B	MVB12B
CORO2B	SFMBT2
CORO2B	FAM171A1
ANP32A	LINC00987
GLCE	SMAD7
PAQR5	TLE6
PAQR5	SLC6A16
RPLP1	MRPL24
RPLP1	APOD
RPLP1	PHPT1
RPLP1	DRAP1
RPLP1	LINC00844
RPLP1	MFSD5
RPLP1	NABP2
RPLP1	NPC2
RPLP1	PSMA4
RPLP1	PCNA
RPLP1	RPL18
RPLP1	CCDC134
THSD4	VWA3B
PKM	SV2A
PKM	CAMK2N2
PKM	CNTFR
PKM	TMEM132A
PKM	B4GAT1
PKM	PGAM1
PKM	ENO2
PKM	SLC2A3
PKM	SNN
PKM	STMN3
PKM	FXYD1
PARP6	AL162586.1
AC009690.1	ZNF488
AC009690.1	AC021752.1
AC009690.1	ITGA2B
AC009690.1	NANP
AC009690.1	NKPD1
NEO1	BCL9
NEO1	C1GALT1
NEO1	LDHC
NEO1	STXBP6
NEO1	ZNRF1
NEO1	ZNF624
NEO1	GTF2F1
COX5A	EBNA1BP2
PPCDC	Z83844.1
IMP3	NME3
IMP3	NR2C2AP
CSPG4	NFKBID
TMEM266	KHDC1
ETFA	AGFG2
LINGO1	AC068599.1
LINGO1	ACAD11
LINGO1	RASGEF1B
LINGO1	TXNDC5
LINGO1	SEMA3E
LINGO1	CYP51A1
LINGO1	SLC26A3
LINGO1	BCOR
LINGO1	ARHGEF10
LINGO1	TJP2
LINGO1	HSD17B3
LINGO1	AL807752.6
LINGO1	PTH
LINGO1	NOP2
LINGO1	AC138305.1
LINGO1	MRPL38
LINGO1	CFAP61
LINGO1	AC006486.1
LINGO1	CPT1B
LINGO1	IL10RB
DNAJA4	MOB1B
CHRNB4	FBP1
CHRNB4	CCDC73
CHRNB4	SMIM35
CHRNB4	CCDC38
CHRNB4	HPD
RASGRF1	DPYSL5
RASGRF1	HAGLR
RASGRF1	ENPP6
RASGRF1	RASGEF1C
RASGRF1	ELOVL2
RASGRF1	MBOAT1
RASGRF1	SLC25A13
RASGRF1	ARHGAP39
RASGRF1	SORL1
RASGRF1	CPXM2
RASGRF1	AC011944.1
RASGRF1	FAM234A
RASGRF1	PDIA2
RASGRF1	TOX3
RASGRF1	RNF152
RASGRF1	C2CD2
AC011944.1	CKMT2
FAH	AMN
AC108451.1	AL450998.3
AC108451.1	AC084871.2
AC108451.1	AP000857.2
CEMIP	AOX1
CEMIP	AL596188.1
AC027808.1	MAMDC2-AS1
AC027808.1	GRK3
EFL1	NME6
EFL1	NOC3L
EFL1	PRDM4
EFL1	COX10
RPS17	MARVELD2
RPS17	AC026726.1
RPS17	CSF2RA
RPS17	RPL39
RPS17	IDO1
RPS17	MED17
RPS17	DECR2
RPS17	FN3K
RPS17	AP006565.1
RPS17	ZNF831
RPS17	RBX1
CPEB1-AS1	SETD6
AC105339.3	TEX45
AC103876.1	ZNF485
SH3GL3	PDE8A
ADAMTSL3	AC010226.1
ADAMTSL3	MIR2052HG
ADAMTSL3	AL136980.1
ADAMTSL3	SKIDA1
ADAMTSL3	SP7
PDE8A	AC083809.1
AC021739.2	TMSB15B-1
NTRK3	FAR2
NTRK3	RAB15
NTRK3	TMEM132E
NTRK3	TSHZ3
LINC01586	ANKRD45
LINC01586	AMOTL1
ISG20	AL356417.3
ABHD2	HMX1
ABHD2	CPA2
ABHD2	R3HCC1
ABHD2	BCAT1
ABHD2	AC100793.4
ABHD2	LPIN3
TICRR	AC096772.1
SEMA4B	AC107067.1
SEMA4B	DEPDC1B
SEMA4B	LUCAT1
SEMA4B	SERPINB9
SEMA4B	TMEM140
SEMA4B	PRKX
SEMA4B	GDPD5
SEMA4B	PLIN3
IQGAP1	PER3
IQGAP1	C1orf109
IQGAP1	TLK1
IQGAP1	RASGEF1C
IQGAP1	TBL1X
IQGAP1	TRIM3
IQGAP1	FGFR2
IQGAP1	SAMD4A
IQGAP1	SLC23A2
IQGAP1	AL121761.1
IQGAP1	RIN2
IQGAP1	FAM207A
AC103739.2	ZFP57
VPS33B-DT	DNLZ
AC116903.2	AL590822.2
AC116903.2	ASH1L-AS1
AC116903.2	AC006145.1
AC116903.2	AP004147.1
AC091078.1	PATJ
AC091078.1	LINC02233
AC091078.1	STMND1
AC091078.1	PTK7
AC091078.1	HEPHL1
AC091078.1	AL136018.1
AC012409.2	AC140504.1
LINC02253	ADAM29
ARRDC4	TXNIP
AC022523.1	AC105031.2
AC022523.1	PLEKHD1
AC022523.1	STON2
AC022523.1	OR3A3
IGF1R	LRAT
IGF1R	CYP3A43
IGF1R	KCNH2
IGF1R	ARHGAP32
IGF1R	HDAC7
IGF1R	PRKD1
SYNM	MSANTD3
SYNM	RHBDD3
LRRC28	WDR17
LRRC28	NUP37
LRRC28	RSAD1
CERS3-AS1	LINC01889
CERS3-AS1	AL451064.1
CERS3-AS1	GPR143
CERS3-AS1	AC005324.3
CERS3-AS1	AC015802.4
CERS3-AS1	HSD17B14
ALDH1A3	AC015712.4
AC015712.2	AP006623.1
CHSY1	ZNF317
SELENOS	COMMD2
SELENOS	AC105345.1
SELENOS	SPP1
SELENOS	AL133346.1
PCSK6	SEMA5A
PCSK6	NAV2
PCSK6	VSTM4
PCSK6	NUAK1
PCSK6	PACS2
PCSK6	CMIP
PCSK6	PDE9A
HBA2	HBB
LUC7L	ARHGEF28
LUC7L	METTL24
LUC7L	AC022182.2
LUC7L	ANKDD1A
LUC7L	MRPL58
LUC7L	MFSD11
RGS11	LINC01896
RAB11FIP3	PRRT3-AS1
RAB11FIP3	SAYSD1
RAB11FIP3	STYXL1
RAB11FIP3	CCDC71L
RAB11FIP3	PLPP7
RAB11FIP3	SIAE
RAB11FIP3	BCL7A
RAB11FIP3	RAB40C
RAB11FIP3	TRIOBP
LINC00235	AC106820.5
CAPN15	SCRIB
RHOT2	AL121890.5
STUB1	VPS28
STUB1	UBE2S
FAM173A	PUSL1
FAM173A	PRR7
LMF1	AC009126.1
SOX8	DVL1
SOX8	REEP4
SOX8	ZNF395
SOX8	MAPK8IP1
SOX8	AL136295.6
SOX8	MAPK3
SOX8	CASKIN2
SOX8	LIPE
SOX8	CSNK1E
AL031714.1	NEXN-AS1
TSR3	ZBTB22
AL031705.1	LINC02080
AL133297.2	AC112220.4
CRAMP1	AC079807.1
CRAMP1	LTV1
CRAMP1	SRCAP
CRAMP1	AC012313.5
NME3	AKR1A1
NME3	AC139530.1
MRPS34	CDKN2AIPNL
SPSB3	AL359504.2
SPSB3	LINC01003
SPSB3	NME3
SPSB3	C16orf86
SPSB3	AL035563.1
SPSB3	SWSAP1
SPSB3	GTPBP3
NDUFB10	RRP9
NDUFB10	NOP16
NDUFB10	CYB5R2
NDUFB10	SPECC1
NDUFB10	TFPT
RPS2	ZYG11A
RPS2	SSR4
RPS2	GVQW3
RPS2	METTL26
RPS2	CTU2
RPS2	EPG5
RPS2	GID8
RPS2	RPS28
RPS2	ADGRE3
RPS2	NOP53
SNHG9	AC103591.3
SNHG9	AC025171.3
SNHG9	AP000755.1
SYNGR3	LHX6
PKD1	INTS1
PKD1	PPP2R3B
PKD1	PPRC1
PKD1	GNB3
PKD1	AC009163.7
PKD1	SGSM2
PKD1	TYK2
RAB26	CA7
SNHG19	GMFG
MLST8	SPATA20
BRICD5	LRCH4
BRICD5	ABCA7
PGP	ACTR1B
PGP	PJVK
PGP	TNIP1
PGP	ZNF322
PGP	PAOX
PGP	UBL7-AS1
PGP	SCO1
PGP	NAGLU
PGP	FBF1
PGP	ZNF324B
PGP	ZNF324
DNASE1L2	STK11IP
SRRM2-AS1	AC010327.4
SRRM2	CSKMT
SRRM2	CLCN7
SRRM2	HEXDC
ELOB	DPM3
ELOB	MRPL55
ELOB	SMIM37
ELOB	PECR
ELOB	UQCRC1
ELOB	MB21D2
ELOB	NDUFC1
ELOB	UQCRQ
ELOB	ATOX1
ELOB	COX7A2
ELOB	FIG4
ELOB	AF241726.2
ELOB	RNF113A
ELOB	POMK
ELOB	NDUFS8
ELOB	ATP5MD
ELOB	RPS26
ELOB	AL138686.1
ELOB	SETDB2
ELOB	KANSL1
ELOB	SLC35B1
ELOB	IDH3B
ELOB	ROMO1
ELOB	COX6B1
ELOB	CHMP2A
PAQR4	DDR1
CLDN9	AC004233.3
HCFC1R1	CD96
HCFC1R1	SLAIN2
HCFC1R1	NFS1
HCFC1R1	MHENCR
HCFC1R1	INAFM1
AJ003147.2	KLF5
AJ003147.2	HSH2D
TIGD7	RRH
NMRAL1	MXRA7
UBALD1	YPEL3
UBALD1	HMG20B
NUDT16L1	TAF6
SMIM22	SEPT12
ROGDI	TMBIM1
ROGDI	CCNE2
ROGDI	MED22
ROGDI	GPD1
ROGDI	RNASE1
ROGDI	TEDC1
ROGDI	AMDHD2
ROGDI	POLD1
SEC14L5	FZD1
SEC14L5	AC023509.4
NAGPA-AS1	TACC3
RBFOX1	TMEM178A
RBFOX1	RBMS1
RBFOX1	FSTL5
RBFOX1	PCLO
RBFOX1	JPH1
RBFOX1	ABCC8
RBFOX1	TENM4
RBFOX1	SESN3
RBFOX1	MPPED1
AC087190.1	AC087386.1
AC007221.1	LINC02177
AC007221.1	AC007221.2
GRIN2A	AC133565.1
AC007218.2	LINC01396
AC007218.2	AL137067.1
DEXI	BRPF1
CLEC16A	ARHGEF11
CLEC16A	SFXN5
CLEC16A	ATXN7L1
CLEC16A	HSCB
SNN	PPP1R26
SNN	LYSMD2
RSL1D1	NSF
SNX29	TTC7A
SNX29	HEG1
SNX29	MFSD14C
SNX29	ADAMTS13
SNX29	SH3PXD2A
SNX29	MLXIP
SNX29	ABCB9
SNX29	TTLL5
SNX29	TLN2
SNX29	ATP9B
AC109597.1	AC020741.1
AC109597.1	SLC25A25-AS1
AC109597.1	MTA2
SHISA9	CASC15
MKL2	LRMDA
MIR193BHG	CTSK
PDXDC1	AL136295.1
NDE1	NCAPD2
ABCC1	ECHDC2
ABCC1	CGAS
ABCC1	AC022784.3
NPIPA7	FGF10
NPIPA7	AL132656.2
NPIPA7	NDC80
NPIPA7	AC073534.2
AC126755.2	NBPF14
RPS15A	MRPL52
TMC7	RPS6KA1
TMC7	ADAM19
CCP110	ITPR1
CCP110	FAM162A
CCP110	THOC3
CCP110	TBC1D8B
CCP110	CPEB3
CCP110	TNFAIP8L3
CCP110	ACTG1
ACSM3	PP2D1
ACSM3	AC090515.4
ERI2	CDC37L1-DT
LYRM1	PHETA1
CRYM	NDUFA4
CRYM	LRRN3
CRYM	DPCD
CRYM	MGST1
CRYM	TIMP3
NPIPB4	NPIPB3
EEF2K	AC034231.1
AC092338.2	DENND1C
USP31	ITPKB
USP31	MFSD4B
USP31	PGM5
GGA2	AL035587.1
PRKCB	CAMK2G
CACNG3	SLC30A3
CACNG3	OLFM2
CACNG3	NCAN
AC008731.1	AC009501.1
AC008731.1	EIF5A2
AC008731.1	HTR3E
AC008731.1	FAM184B
AC008731.1	LACTB2-AS1
AC008731.1	ATG16L2
AC008731.1	MPRIP-AS1
SLC5A11	EFEMP1
SLC5A11	PRDM6
SLC5A11	STK10
SLC5A11	ELN
SLC5A11	ADGRE2
ARHGAP17	CAPN14
ARHGAP17	C6orf58
ARHGAP17	ZDHHC4
ARHGAP17	ADAM12
LINC02175	NEURL4
AC106739.1	ACKR2
KIAA0556	AC001226.2
AC016597.1	AC092376.2
AC020765.2	STK38L
AC133550.1	AC114488.2
TUFM	CNPPD1
TUFM	TBCC
TUFM	ARMCX6
TUFM	PUF60
TUFM	C16orf91
TUFM	CDIPT
TUFM	SPAG7
TUFM	GCAT
NPIPB11	AC091167.7
NPIPB11	NPIPB13
MAZ	CNKSR1
MAZ	MGAT1
MAZ	SRPK3
MAZ	HCFC1
MAZ	GRK2
MAZ	TEPSIN
MAZ	RFNG
MAZ	ZNF358
MAZ	ATP13A1
MVP	STAT3
TMEM219	MPV17L2
TAOK2	AC069209.1
PPP4C	TMEM214
MAPK3	MAN1B1
SULT1A3	AC012594.1
SULT1A3	TDRD12
MYLPF	PANK4
MYLPF	AL354760.1
MYLPF	NPIPA1
MYLPF	HCRT
SEPT1	LINC01431
ITGAL	AC073332.1
ITGAL	PRKCH
ZNF688	NEIL1
PRR14	AC243830.2
SRCAP	DMWD
BCL7C	VPS37C
BCL7C	RNF121
BCL7C	PITPNA
BCL7C	FBXO27
MIR762HG	LINC01372
FBXL19-AS1	LINC01134
FBXL19-AS1	REP15
STX4	ZNF668
AC026471.1	PRDM16
AC026471.1	AC110769.2
AC026471.1	ZNF664
TP53TG3D	AC237221.1
TP53TG3D	AC021321.1
TP53TG3D	AC141257.2
AC141257.2	AC145350.2
AC018845.1	GLYATL3
AC018845.1	ZSCAN25
AC018845.1	AC020687.1
AC018845.1	SUMO2
NETO2	IL1RAP
AC007533.1	PCCA-AS1
TENT4B	RB1-DT
TENT4B	CANT1
SALL1	METTL7A
SALL1	AC027307.2
SALL1	WIZ
AC087564.1	RABL2A
AC007347.1	AC131953.1
GNAO1	LINC01902
DKFZP434H168	ANGPTL7
DKFZP434H168	STX16
AC092140.1	SPINK8
BBS2	ENOX2
BBS2	RASSF4
BBS2	TANC2
MT3	NDRG2
MT3	DCXR
MT2A	DTYMK
MT2A	ARSB
MT2A	HIST1H1C
MT2A	PDE10A
MT2A	TTLL11
MT2A	MT1E
MT2A	MT1M
MT2A	MT1X
MT1F	MT1G
MT1X	PACSIN2
AC106779.1	AL645728.1
AC106779.1	AC092171.4
HERPUD1	AC024475.4
NLRC5	HELB
NLRC5	ST8SIA5
CPNE2	MTMR11
CPNE2	NUAK2
CPNE2	SH3PXD2B
CPNE2	PM20D2
CPNE2	USP2
CPNE2	SFXN3
CPNE2	RFC5
CPNE2	BRF1
CPNE2	PREX1
CPNE2	NPHS1
RSPRY1	THBS2
PLLP	AC100814.1
PLLP	INSM1
CX3CL1	EFHD2
CX3CL1	AL356479.1
CX3CL1	KIF5A
DOK4	SLC29A4
ADGRG1	CRHBP
AC009107.1	LINC01993
NDRG4	CHRNB2
NDRG4	REEP2
NDRG4	GPX3
NDRG4	LRRC73
NDRG4	PHF24
NDRG4	EGFL7
NDRG4	SLC17A6
NDRG4	PPP1R1A
NDRG4	PITPNM3
NDRG4	DLG4
NDRG4	RNF112
NDRG4	TTC9B
NDRG4	SLC17A7
NDRG4	PRKCG
NDRG4	SHISAL1
AC012322.1	PADI4
AC012322.1	AL445490.1
AC012322.1	C1orf141
AC012322.1	LINC01356
AC012322.1	CTXND2
AC012322.1	RXRG
AC012322.1	KIAA2012
AC012322.1	AC072062.1
AC012322.1	AC079943.2
AC012322.1	AC073848.1
AC012322.1	NIPAL1
AC012322.1	AC093801.1
AC012322.1	F11-AS1
AC012322.1	AL121972.1
AC012322.1	ITIH6
AC012322.1	GRHL2
AC012322.1	SPATC1
AC012322.1	TYRP1
AC012322.1	RASEF
AC012322.1	AC009652.2
AC012322.1	WNT8B
AC012322.1	PRKAB1
AC012322.1	SKA3
AC012322.1	LINC00457
AC012322.1	AL110292.1
AC012322.1	AC073941.1
AC012322.1	KIF7
AC012322.1	CA5A
AC012322.1	AC007846.2
AC012322.1	ADORA2B
AC012322.1	TK1
AC012322.1	AP000894.3
AC012322.1	SLC14A2
AC012322.1	LINC01428
AC012322.1	AL050403.2
AC012322.1	LINC01440
AC012322.1	AC011511.2
AC012322.1	AC006115.1
AC012322.1	FBLN1
CDH11	CBWD3
CDH11	ABHD2
AC009055.1	SLC22A2
AC010542.3	C1S
AC010542.3	AC007221.1
TK2	LINC01963
TK2	ZNF620
CA7	TRIM25
PDP2	SFT2D3
PDP2	STK17B
PDP2	LINC01033
PDP2	PLXNC1
PDP2	SETBP1
PDP2	AC011462.1
PDP2	ZNF497
FAM96B	NOC2L
FAM96B	CHCHD4
FAM96B	ACAA1
FAM96B	MRPS36
FAM96B	ZNF273
FAM96B	FTSJ1
FAM96B	PAXX
FAM96B	CCDC84
FAM96B	C14orf119
FAM96B	POP4
CES4A	C15orf48
CES4A	PIK3IP1
HSF4	AC103770.1
NOL3	HSF4
E2F4	FAM189B
E2F4	PPP1R14B
E2F4	ACAD8
E2F4	MAZ
E2F4	ZNF24
E2F4	DLGAP4-AS1
LRRC29	AC007785.3
TMEM208	AC007881.3
TMEM208	FGFBP3
TMEM208	SLC25A3
TMEM208	DDX28
TMEM208	AC090844.2
TMEM208	AC007663.3
FHOD1	AC116565.2
TPPP3	AC093152.1
TPPP3	ABCC10
TPPP3	TRMT12
TPPP3	THAP10
TPPP3	TAX1BP3
AC009061.2	AC106739.1
AC009061.2	DUS2
ACD	LY6G5C
EDC4	AC137630.1
EDC4	PCDHB3
PRMT7	AC008629.1
PRMT7	AC008443.6
PRMT7	ZNF559-ZNF177
UTP4	DAGLB
SNTB2	SLC25A21-AS1
EXOSC6	CLEC18A
ST3GAL2	TMEM217
ST3GAL2	ALG1
HPR	HP
LINC01572	ATAD3C
LINC01572	Z99127.1
LINC01572	AC012494.1
LINC01572	EYS
LINC01572	AC102953.2
LINC01572	RELN
LINC01572	AC004112.1
LINC01572	NEURL1
LINC01572	GOLGA3
LINC01572	SERPINE3
LINC01572	ATP6V1D
LINC01572	LINC02250
LINC01572	UBTF
LINC01572	CLUL1
LINC01572	DDX27
AC004943.1	AC105760.1
AC138627.1	AC113414.1
AC138627.1	AC006299.1
BCAR1	AC079848.1
AC009163.4	AC073610.3
AC009163.1	MIR762HG
AC009163.1	AC005332.4
GABARAPL2	AC010894.3
GABARAPL2	RPL15
GABARAPL2	MRFAP1
GABARAPL2	GRPEL1
GABARAPL2	PYURF
GABARAPL2	SKP1
GABARAPL2	NUDCD2
GABARAPL2	RNF5
GABARAPL2	TWISTNB
GABARAPL2	SBDS
GABARAPL2	SRI
GABARAPL2	HSD17B10
GABARAPL2	FUNDC2
GABARAPL2	VBP1
GABARAPL2	DCTN6
GABARAPL2	POLR2K
GABARAPL2	RRAGA
GABARAPL2	CHMP5
GABARAPL2	SMC2
GABARAPL2	INTS5
GABARAPL2	CSTF2T
GABARAPL2	ATG101
GABARAPL2	TRIAP1
GABARAPL2	SRSF9
GABARAPL2	ERH
GABARAPL2	PPP1R13B
GABARAPL2	SLC25A11
GABARAPL2	SNRPB
GABARAPL2	ZNRF3
AC025287.4	AC025576.2
DUXB	ZBTB20-AS4
DUXB	AC132219.1
DUXB	AP003071.2
DUXB	AC092718.6
CPHXL	AC007349.1
CPHXL	AAED1
CPHXL	AC025287.4
CPHXL	AC105430.1
AC105430.1	AC090589.2
CNTNAP4	AC104151.1
AC104151.1	AC106729.1
AC025284.1	ADAMTS18
AC046158.1	FP700111.1
AC046158.1	AC069185.1
AC092376.2	MAF
AC092376.1	AC092376.2
LINC01229	AC106052.1
LINC01229	HCRTR2
LINC01229	AL136962.1
PLCG2	C2orf49
PLCG2	AL627171.2
PLCG2	RHOT2
AC009119.2	TMEM87B
AC009119.2	LINC00880
AC009119.2	BEST1
DNAAF1	COL4A1
COX4I1	UQCRH
COX4I1	PRRC2C
COX4I1	NDUFS6
COX4I1	CLTB
COX4I1	BEX3
COX4I1	VPS28
COX4I1	NDUFA8
COX4I1	EDF1
COX4I1	NDUFS3
COX4I1	GAPDH
COX4I1	COPS7A
COX4I1	LDHB
COX4I1	ATP5F1B
COX4I1	ALKBH2
COX4I1	SAP18
COX4I1	NPIPB5
COX4I1	LINC02193
COX4I1	C19orf70
COX4I1	TMEM160
MAP1LC3B	CHMP2B
MAP1LC3B	APEX2
MAP1LC3B	ZBTB6
MAP1LC3B	ZNF677
ZCCHC14	DDB2
JPH3	LHFPL5
JPH3	IQSEC2
CA5A	PHKA1
BANP	ZBTB40
BANP	TMEM79
BANP	ERICH6
BANP	JADE2
BANP	RSPH4A
BANP	FAM133A
BANP	RENBP
BANP	C11orf24
BANP	ALG9
BANP	MRPS31
BANP	KDELC1
BANP	CHRFAM7A
BANP	TXNL4B
BANP	KIF1C
BANP	MAPT
BANP	LINC00904
BANP	ZNF761
ZFPM1	NKX6-2
ZC3H18	AL589678.1
ZC3H18	LEO1
PIEZO1	KBTBD11
ACSF3	B9D1
ACSF3	ZSWIM1
ANKRD11	OR2L13
ANKRD11	CAD
ANKRD11	CCDC142
ANKRD11	OGG1
ANKRD11	FAM193A
ANKRD11	TTBK1
ANKRD11	ADAM18
ANKRD11	ZC3H18
ANKRD11	CSNK1G2
ANKRD11	TSPAN16
RPL13	SMIM20
RPL13	RPL8
CHMP1A	CSK
CHMP1A	MBD3
FANCA	SPIRE2
DEF8	NADK
CENPBD1	FICD
AC133919.1	GNG4
AC133919.1	LINC00276
AC133919.1	MORC1
AC133919.1	GPC3
AC133919.1	AC090709.1
AC133919.1	VAT1L
AC133919.2	AC069287.3
AC133919.2	IGFL2-AS1
AC240565.1	FAM157C
RFLNB	AL359715.3
ABR	FBXO41
ABR	HRH1
ABR	RHOBTB2
ABR	TACC2
ABR	KCNN1
PITPNA-AS1	AC027644.3
SERPINF1	AC092647.5
RTN4RL1	COL5A1
CLUH	NSMF
AC005696.4	PPP1R26-AS1
RAP1GAP2	CFAP74
RAP1GAP2	AL390729.1
RAP1GAP2	LIN28B
RAP1GAP2	CDHR3
RAP1GAP2	IQSEC2
RAP1GAP2	DAGLA
RAP1GAP2	AC008105.3
SPATA22	AL357055.3
SPATA22	KIAA0556
TAX1BP3	HMOX1
EMC6	SCNM1
EMC6	RDH14
EMC6	BCS1L
EMC6	AC099522.2
EMC6	MAML1
EMC6	AL031963.3
EMC6	MRPL14
EMC6	NUDT1
EMC6	TMEM179B
EMC6	TIMM8B
EMC6	EMC7
EMC6	SPSB3
EMC6	PITPNA-AS1
EMC6	MRPL4
AC116914.2	AC089999.1
NCBP3	TARS2
NCBP3	DYNC2LI1
NCBP3	GCNT2
NCBP3	IFT46
NCBP3	PCGF2
ATP2A3	FAM71F1
ATP2A3	LTBP2
ATP2A3	AC018697.1
ATP2A3	ALPK2
AC087742.1	AC062029.1
AC087742.1	HHATL-AS1
SPNS3	ABHD14B
PSMB6	NDUFAF3
PSMB6	QDPR
PSMB6	AKR1B1
PSMB6	RRAGA
PSMB6	ACAD10
PSMB6	EID1
PSMB6	IMP3
PSMB6	MRPS34
PSMB6	EMC6
PSMB6	TRIR
PSMB6	CEP89
PSMB6	WDR4
SLC25A11	C20orf27
PFN1	NT5DC2
PFN1	C6orf136
PFN1	BAG6
PFN1	GNB2
PFN1	BOP1
PFN1	FAM225A
PFN1	BAD
PFN1	TARBP2
PFN1	PA2G4
PFN1	HCFC1R1
PFN1	PPP4C
PFN1	NUTF2
PFN1	ADRM1
PFN1	DOHH
PFN1	XAB2
PFN1	CCDC124
PFN1	TBCB
PFN1	GRWD1
PFN1	PHF5A
ENO3	CD200R1
SPAG7	DDX54
SLC52A1	KIF14
ZFP3	ETV3
ZFP3	AC010420.1
AC087500.1	GCC1
AC087500.1	ZNF627
AC007846.2	EFNA2
XAF1	HNRNPUL2-BSCL2
ACADVL	AK1
GABARAP	KRTCAP2
GABARAP	AC010230.1
GABARAP	AC231533.1
GABARAP	AL807752.7
GABARAP	RNASEH2A
EIF5A	DPH1
FGF11	FGFR4
FGF11	AC100821.2
EIF4A1	PIAS3
SAT2	MUTYH
SAT2	COPS6
SAT2	SWI5
SAT2	AL135925.1
SAT2	STX10
DNAH2	AC092720.1
TRAPPC1	ARF5
TRAPPC1	F8A1
TRAPPC1	AL596094.1
PER1	SLC6A8
PER1	GIT1
LINC00324	LY6G5B
PIK3R5	SYDE2
AC005291.2	AF121898.1
AC005291.2	RAG1
MYH13	AC005699.1
MYH13	LINC01091
MYH13	TEX11
MYH13	PGLYRP2
MYH13	GRIN2D
MAP2K4	DOCK7
MAP2K4	SEMA4F
MAP2K4	NFKB1
MAP2K4	PPP2R5D
MAP2K4	LGR4
MAP2K4	LATS2
MAP2K4	NUFIP2
MAP2K4	AC068025.2
MAP2K4	LPIN2
LINC00670	AC087741.2
LINC00670	ATP8B3
AC005304.1	AC005304.3
COX10	AC093157.1
TEKT3	Z97353.2
TBC1D26	CASQ2
TBC1D26	AC104521.1
ADORA2B	AC017091.1
ADORA2B	SUN3
ADORA2B	AC093567.1
ADORA2B	LINC00687
PIGL	RYR2
PIGL	OSTC
PIGL	AP003486.1
PIGL	CRYL1
PIGL	PRKCB
PIGL	FKRP
UBB	ZFAND2A
UBB	HSPA8
UBB	UBC
UBB	RFWD3
LRRC75A	AC020594.1
TNFRSF13B	AC009506.1
TNFRSF13B	AC069431.1
TNFRSF13B	AC011374.2
TNFRSF13B	CFAP157
TNFRSF13B	AL358334.1
AC055811.2	AC007292.3
RAI1	CGN
DRC3	KCNIP2-AS1
AC087164.1	AC005962.1
TOP3A	SLC9A1
TOP3A	RFT1
TOP3A	ZNF517
SHMT1	CARS
SHMT1	KIF20B
SHMT1	SEMA4B
AC004448.2	FBXO6
LINC02094	AC078927.1
SLC47A1	AC099344.1
SLC47A1	TRDN-AS1
SLC47A1	FAM83A
SLC47A1	FER1L6
SLC47A1	AL354861.2
SLC47A1	AC104009.1
SLC47A1	SLC35F2
SLC47A1	SLC16A9
SLC47A1	LINC01841
ALDH3A2	ZNF143
ALDH3A2	NLRC5
AC087294.1	AC008758.5
KCNJ12	SCN7A
KCNJ12	AL137786.1
KCNJ12	ASGR1
AC026254.2	AL138960.1
KSR1	EMP3
AC005697.1	AC068875.1
AC005697.1	NOS2
AC005697.2	LYRM9
LINC01992	LYRM9
AC005726.5	CRLF3
AC005726.5	KMT2B
KIAA0100	MTIF2
KIAA0100	SEPHS1
RPL23A	AL136454.1
RPL23A	RPS18
RPL23A	SMIM30
RPL23A	MRPS28
RPL23A	POMP
MYO18A	SELENON
MYO18A	DCTN1
MYO18A	MREG
MYO18A	SH3BP4
MYO18A	TRMT44
MYO18A	EXOSC9
MYO18A	SNX30
MYO18A	PHRF1
MYO18A	SERPING1
MYO18A	CHD4
MYO18A	EP400
MYO18A	ANKRD11
MYO18A	ZNF525
MYO18A	AC006547.2
NUFIP2	UBXN11
NUFIP2	CDV3
NUFIP2	NFYA
NUFIP2	PHF10
NUFIP2	BICD2
NUFIP2	ORC6
NUFIP2	SCRN2
NUFIP2	SLC16A8
NUFIP2	DENND6B
AC068025.2	AL160408.1
AC068025.2	TARID
ABHD15-AS1	PKP4-AS1
ABHD15-AS1	LRRC75A
ABHD15-AS1	AC005899.8
ABHD15-AS1	ANGPTL4
CORO6	GPC1
AC104982.1	AL513320.1
AC104982.1	AL161729.1
CRLF3	AL445248.1
CRLF3	AP3B2
CRLF3	MIR762HG
OMG	DCLRE1B
OMG	AC018647.1
EVI2B	AC134669.1
EVI2A	RBM15
EVI2A	LYSMD3
EVI2A	AC134669.1
RAB11FIP4	LRIT3
RHBDL3	CR1
RHBDL3	HSD11B1
RHBDL3	POLA2
RHBDL3	ITPRIP
RHBDL3	MYO5B
AC005899.8	FOXM1
AC005899.8	BEAN1
AC005899.8	AC092123.1
AC005899.1	AC005899.5
AC079336.4	AC007513.1
AC079336.4	ALDH1L2
AC025211.1	AC091932.1
TMEM98	AC015712.1
ASIC2	LAMC1
ASIC2	MCTP1
ASIC2	ZNF804B
ASIC2	DLGAP2
ASIC2	SYN3
ZNF830	AC231981.1
ZNF830	SRSF7
